,Price,Room type,Person capacity,Longitude,Latitude,City,Neighbourhood
8958,275.09,Entire home,4,-9.22594,38.69748,Lisbon,Belm
8959,446.06,Entire home,5,-9.15326,38.715990000000005,Lisbon,Misericrdia
8960,207.79,Entire home,4,-9.20356,38.70503,Lisbon,Belm
8961,278.61,Entire home,4,-9.152,38.711,Lisbon,Misericrdia
8962,397.28,Entire home,4,-9.14971,38.71078,Lisbon,Misericrdia
8963,304.88,Entire home,4,-9.15191,38.71059,Lisbon,Misericrdia
8964,235.69,Entire home,4,-9.15242,38.71177,Lisbon,Misericrdia
8965,304.88,Entire home,4,-9.15103,38.71071,Lisbon,Misericrdia
8966,294.79,Entire home,3,-9.14993,38.70961,Lisbon,Misericrdia
8967,205.44,Entire home,2,-9.15058,38.71054,Lisbon,Misericrdia
8968,289.17,Entire home,4,-9.152,38.711,Lisbon,Misericrdia
8969,113.74,Private room,2,-9.19847,38.69819,Lisbon,Belm
8970,344.98,Entire home,4,-9.152,38.711,Lisbon,Misericrdia
8971,205.44,Private room,2,-9.15349,38.71154,Lisbon,Misericrdia
8972,289.17,Entire home,4,-9.152,38.711,Lisbon,Misericrdia
8973,396.34,Entire home,4,-9.14925,38.71048,Lisbon,Misericrdia
8974,242.73,Entire home,4,-9.149,38.71,Lisbon,Misericrdia
8975,226.55,Entire home,4,-9.149,38.71,Lisbon,Misericrdia
8976,182.22,Entire home,2,-9.1496,38.71051,Lisbon,Misericrdia
8977,286.82,Entire home,3,-9.14698,38.71166,Lisbon,Misericrdia
8978,295.97,Entire home,4,-9.152,38.711,Lisbon,Misericrdia
8979,205.44,Entire home,2,-9.15278,38.71566,Lisbon,Misericrdia
8980,228.66,Entire home,2,-9.14925,38.71073,Lisbon,Misericrdia
8981,198.41,Entire home,4,-9.15309,38.71548,Lisbon,Misericrdia
8982,208.96,Entire home,4,-9.14866,38.71074,Lisbon,Misericrdia
8983,367.96,Entire home,5,-9.14869,38.71103,Lisbon,Misericrdia
8984,222.56,Entire home,4,-9.152,38.709,Lisbon,Misericrdia
8985,208.96,Entire home,4,-9.15023,38.71056,Lisbon,Misericrdia
8986,194.18,Entire home,2,-9.1509,38.71082,Lisbon,Misericrdia
8987,207.79,Entire home,4,-9.1032,38.7709,Lisbon,Parque das Naes
8988,206.38,Entire home,4,-9.152,38.709,Lisbon,Misericrdia
8989,216.93,Entire home,2,-9.149,38.71,Lisbon,Misericrdia
8990,340.29,Entire home,5,-9.151,38.715,Lisbon,Misericrdia
8991,310.04,Entire home,6,-9.15089,38.70981,Lisbon,Misericrdia
8992,246.25,Entire home,4,-9.14841,38.71112,Lisbon,Misericrdia
8993,223.03,Entire home,4,-9.14879,38.70984,Lisbon,Misericrdia
8994,147.28,Private room,2,-9.14923,38.71341,Lisbon,Misericrdia
8995,231.0,Entire home,5,-9.10208,38.7695,Lisbon,Parque das Naes
8996,96.86,Private room,2,-9.13359,38.72595,Lisbon,Arroios
8997,203.1,Entire home,6,-9.14623,38.71005,Lisbon,Misericrdia
8998,240.38,Entire home,3,-9.14955,38.7108,Lisbon,Misericrdia
8999,227.49,Entire home,6,-9.14688,38.709590000000006,Lisbon,Misericrdia
9000,182.46,Entire home,2,-9.14694,38.71469,Lisbon,Misericrdia
9001,251.88,Entire home,2,-9.15296,38.711290000000005,Lisbon,Misericrdia
9002,307.69,Entire home,4,-9.151,38.715,Lisbon,Misericrdia
9003,147.28,Private room,2,-9.14897,38.71466,Lisbon,Misericrdia
9004,333.26,Entire home,6,-9.14992,38.71077,Lisbon,Misericrdia
9005,204.5,Entire home,2,-9.154,38.71,Lisbon,Estrela
9006,257.74,Entire home,5,-9.151,38.709,Lisbon,Misericrdia
